"","ZIP","CAPACITY","COUNT","Zip_Income","Zip_Perc_White","Zip_Perc_Male"
"429","08097",673.84,74,1148,87.5,47.9
"430","08098",4767.994,398,3269,88.2,48.6
"431","08102",39,5,2415,27.9,50
"432","08103",83.29,12,4726,17.5,48.7
"433","08104",115.95,20,8350,18.5,44
"434","08105",839.94,130,8741,29.7,47.6
"435","08106",1394.239,162,3793,92.9,47.6
"436","08107",1057.865,156,5335,68.3,47.7
"437","08108",1321.218,211,7631,90.4,47.8
"438","08109",3957.281,531,8422,60.9,47.8
"439","08110",3228.28,450,5687,33.1,48.2
"440","08195",7.04,1,NA,NA,NA
"441","08201",4847.706,542,3900,67.5,48.4
"442","08202",469.111,70,809,99.5,48.2
"443","08203",3146.725,397,4052,91.4,45.8
"444","08204",8542.946,981,7735,92.4,50.9
"445","08205",10754.377,1310,10210,67.8,47.1
"446","08210",8317.686,833,6381,82.7,49.8
"447","08212",179.19,28,92,98.9,39.8
"448","08213",204.065,18,NA,NA,NA
"449","08214",362.69,33,NA,NA,NA
"450","08215",6338.389,605,5310,74.1,52.8
"451","08217",382.78,36,0,81.2,78.8
"452","08218",215.485,20,NA,NA,NA
"453","08219",313.405,31,NA,NA,NA
"454","08220",142.42,13,NA,NA,NA
"455","08221",2581.267,259,2509,88.6,46.3
"456","08223",2540.747,254,1806,99.1,46.4
"457","08224",516.23,46,185,83.2,49.7
"458","08225",4211.36,505,2863,88.9,46.3
"459","08226",1646.77,239,5253,92.2,46.5
"460","08228",4.94,1,NA,NA,NA
"461","08230",2768.644,258,2085,97.2,47.8
"462","08231",172.11,12,NA,NA,NA
"463","08232",6240.484,855,6250,36.5,45.7
"464","08233",17.64,2,NA,NA,NA
"465","08234",24828.022,2753,13914,67.9,47.9
"466","08240",611.59,72,0,84,39.3
"467","08241",1266.94,110,404,97,49.1
"468","08242",2105.33,240,1274,93.9,44.2
"469","08243",260.375,49,1111,98.8,47.9
"470","08244",2406.21,305,4425,80.7,45.9
"471","08245",329.45,26,NA,NA,NA
"472","08246",253.575,23,52,60.4,49.1
"473","08247",233.925,36,498,99.6,44.1
"474","08248",62.9,9,55,100,62
"475","08249",7.25,1,NA,NA,NA
"476","08250",80.4,12,NA,NA,NA
"477","08251",7012.61,897,4134,94.5,49
"478","08252",238.28,23,NA,NA,NA
"479","08255",8.84,1,NA,NA,NA
"480","08257",6.5,1,NA,NA,NA
"481","08260",3937.823,579,6103,92.1,47.1
"482","08266",11.7,1,NA,NA,NA
"483","08270",3078.031,293,3014,88.5,52.8
"484","08300",10.71,1,NA,NA,NA
"485","08302",10668.578,1023,13927,61.9,51.6
"486","08304",4.35,1,NA,NA,NA
"487","08310",897.92,82,577,96,56.2
"488","08311",1303.295,121,647,75.7,49.1
"489","08312",3381.12,412,2967,78,47.4
"490","08313",69.86,6,NA,NA,NA
"491","08314",193.67,19,174,32.6,88.6
"492","08315",86.205,8,NA,NA,NA
"493","08316",346.55,33,99,89.2,44.8
"494","08317",868.096,77,525,76.7,45.4
"495","08318",5281.018,482,4545,90,50.5
"496","08319",1295.343,104,414,95.6,53.5
"497","08320",116.56,9,0,24.9,100
"498","08321",108.9,17,83,100,60.2
"499","08322",5237.347,477,3688,87,50.4
"500","08323",197.235,19,231,89.1,47.1
"501","08324",245.429,19,108,96.8,59.9
"502","08326",707.505,73,474,79.6,54.8
"503","08327",508.375,54,175,33.8,95.3
"504","08328",441.786,43,526,91.6,45.3
"505","08329",52.93,6,152,73.3,45.5
"506","08330",10961.856,1220,10566,63.1,49.3
"507","08332",12106.131,1334,13741,76.1,48.4
"508","08337",3.24,1,NA,NA,NA
"509","08340",750.125,59,453,90.9,53.4
"510","08341",492.25,53,1032,64.5,46.7
"511","08342",152.91,15,NA,NA,NA
"512","08343",2910.545,252,1718,89.7,47.3
"513","08344",2197.825,206,1812,92.8,44.2
"514","08345",444.915,42,231,88,49.4
"515","08346",602.395,59,292,45.9,52.8
"516","08347",135.86,11,NA,NA,NA
"517","08348",150.365,13,62,100,38.1
"518","08349",695.644,69,697,82.4,44.9
"519","08350",414.24,38,232,93.4,47.1
"520","08351",29.6,2,NA,NA,NA
"521","08352",35.95,3,164,57.2,50.1
"522","08353",106.22,12,152,85,40.6
"523","08356",12.4,1,NA,NA,NA
"524","08358",7.521,1,NA,NA,NA
"525","08360",5914.663,816,14631,69,48
"526","08361",1628.328,241,6489,77.9,48.4
"527","08400",2.6,1,NA,NA,NA
"528","08401",2053.213,326,15504,29.6,50.4
"529","08402",1437.229,206,2933,94.2,49.6
"530","08403",232.615,30,464,98.4,45.6
"531","08405",5.4,1,NA,NA,NA
"532","08406",2367.125,316,4366,80.4,49.2
"533","08501",2069.515,206,2355,85.4,49.1
"534","08502",2115.81,217,3612,53.4,51.2
"535","08504",32.08,3,NA,NA,NA
"536","08505",4734.771,560,6880,75.7,47.8
"537","08510",882.358,69,1812,89.8,49.6
"538","08511",431.726,40,383,84.4,50.7
"539","08512",2560.54,197,4078,66.8,48.3
"540","08514",1516.523,135,1894,94.2,46.8
"541","08515",2268.057,246,1702,67.6,54.6
"542","08518",1174.395,141,2255,71.1,45.7
"543","08520",3393.124,400,9281,69.5,48.6
"544","08521",9.36,1,NA,NA,NA
"545","08525",1131.183,109,1864,96.7,53.5
"546","08526",23.528,2,NA,NA,NA
"547","08527",15233.334,1620,20389,87.7,48.7
"548","08528",77.37,10,64,44.6,37.6
"549","08530",1089.214,108,3084,88.8,52.8
"550","08533",1852.827,168,2440,96.4,50
"551","08534",2115.74,219,4739,81.3,48.5
"552","08535",1007.74,86,1583,88,48.1
"553","08536",2354.062,275,7805,27.5,49.4
"554","08540",4574.505,464,17485,61.8,48.7
"555","08542",57.32,8,1733,70,57.8
"556","08543",45,1,NA,NA,NA
"557","08544",4.76,1,NA,NA,NA
"558","08546",11.93,1,NA,NA,NA
"559","08550",3419.412,352,6657,50.6,48.2
"560","08551",1370.523,131,1797,90.5,45.1
"561","08552",55.62,7,NA,NA,NA
"562","08553",124.665,13,243,90.1,50.8
"563","08554",355.54,41,1494,80.2,48.4
"564","08555",79.325,9,294,90.2,51.2
"565","08556",24.206,4,NA,NA,NA
"566","08557",35.675,4,NA,NA,NA
"567","08558",1285.709,118,2578,71.8,49.7
"568","08559",1122.397,103,2118,96.6,49.8
"569","08560",1087.221,100,1367,80.4,47.6
"570","08561",27.555,2,102,40.3,43.7
"571","08562",1205.14,111,1768,77.8,52.1
"572","08570",9.69,1,NA,NA,NA
"573","08574",17.6,1,NA,NA,NA
"574","08579",11.02,1,NA,NA,NA
"575","08601",6.11,1,NA,NA,NA
"576","08602",12,1,NA,NA,NA
"577","08608",8.475,2,539,12.7,45
"578","08609",198.33,27,4163,39.2,51.3
"579","08610",4597.489,632,11145,67,50.7
"580","08611",300.88,52,8306,60.8,52
"581","08618",1659.539,236,13061,31.1,47.4
"582","08619",3720.131,445,8709,80.7,46.9
"583","08620",2375.552,289,4055,84.3,53
"584","08628",1386.338,157,3786,73.2,49.9
"585","08629",626.415,105,4077,41.5,50.9
"586","08637",5.46,1,NA,NA,NA
"587","08638",2219.16,302,8031,50.3,46.9
"588","08640",5330.325,471,903,50.9,82.9
"589","08641",44.73,5,1162,72.8,55.2
"590","08645",4.35,1,NA,NA,NA
"591","08648",3705.078,461,11588,69.3,48.3
"592","08650",25.48,2,NA,NA,NA
"593","08652",26.95,1,NA,NA,NA
"594","08690",3558.376,426,6909,88.3,46.2
"595","08691",3070.455,330,6281,75.5,46.4
"596","08701",15010.165,1426,23781,91.4,49.7
"597","08720",204.445,21,252,98.6,47.4
"598","08721",8048.662,931,7382,89.2,49.6
"599","08722",3720.945,446,3740,91.9,51
"600","08723",8423.447,1007,13021,91,48.8
"601","08724",7854.536,943,16510,91.6,49.1
"602","08725",10.73,1,NA,NA,NA
"603","08729",12.22,1,NA,NA,NA
"604","08730",465.037,62,1755,95.7,49.1
"605","08731",5914.276,673,7618,95.7,48.9
