"","ZIP","CAPACITY","COUNT","Income","Perc_White","Perc_Male","Total_Occ_House","Adoption_Rate"
"266","07825",1815.193,164,3489,95.3,52.3,3489,0.0470048724562912
"267","07826",835.854,68,2261,97.3,50.2,2261,0.0300751879699248
"268","07827",510.839,64,1668,95.3,53.8,1668,0.0383693045563549
"269","07828",885.091,109,5854,80.4,50.3,5854,0.0186197471814144
"270","07829",8.4,1,NA,NA,NA,NA,NA
"271","07830",1089.897,93,2338,96.1,46,2338,0.0397775876817793
"272","07831",21.58,3,NA,NA,NA,NA,NA
"273","07832",538.89,47,1273,92.2,46.3,1273,0.0369206598586017
"274","07833",4.69,1,56,100,60.7,56,0.0178571428571429
"275","07834",966.76,109,6803,86.2,48.4,6803,0.0160223430839336
"276","07836",1050.674,117,4536,86.9,50.9,4536,0.0257936507936508
"277","07838",276.505,31,1139,95.2,52.1,1139,0.0272168568920105
"278","07839",62.625,2,NA,NA,NA,NA,NA
"279","07840",2036.569,236,11754,84.1,48.5,11754,0.0200782712268164
"280","07842",9.59,2,45,87.4,47.4,45,0.0444444444444444
"281","07843",1101.695,130,4556,86.2,50.6,4556,0.0285338015803336
"282","07844",100.695,10,NA,NA,NA,NA,NA
"283","07845",8.4,1,NA,NA,NA,NA,NA
"284","07846",8.4,1,15,100,58.2,15,0.0666666666666667
"285","07847",196.135,27,746,85.7,54.9,746,0.0361930294906166
"286","07848",819.115,63,1724,92.8,47.7,1724,0.0365429234338747
"287","07849",972.18,118,3670,85.5,52.1,3670,0.0321525885558583
"288","07850",484.64,61,2238,79.6,47.4,2238,0.0272564789991063
"289","07851",35.84,2,29,95.1,52.5,29,0.0689655172413793
"290","07852",310.215,35,1495,75.4,43.4,1495,0.0234113712374582
"291","07853",1461.026,128,4181,93.7,49.5,4181,0.0306146854819421
"292","07855",12.24,1,NA,NA,NA,NA,NA
"293","07856",202.38,21,1748,83.5,47.1,1748,0.0120137299771167
"294","07857",219.99,29,1430,89.1,47.4,1430,0.0202797202797203
"295","07860",3166.744,319,9568,94.1,49.9,9568,0.0333403010033445
"296","07863",448.89,45,1465,93.9,50.6,1465,0.0307167235494881
"297","07865",388.245,39,665,95.9,47.9,665,0.0586466165413534
"298","07866",1604.38,196,8623,86.5,49.2,8623,0.0227299083845529
"299","07869",1459.661,151,9169,80.1,49.6,9169,0.0164685352819282
"300","07871",1637.409,147,7188,92.7,48.5,7188,0.0204507512520868
"301","07874",600.46,66,3055,90.5,47.1,3055,0.0216039279869067
"302","07875",4.96,1,NA,NA,NA,NA,NA
"303","07876",998.131,125,3548,90.5,47.1,3548,0.0352311161217587
"304","07877",17.93,2,NA,NA,NA,NA,NA
"305","07878",15.93,3,240,82.6,38.6,240,0.0125
"306","07879",3.795,1,NA,NA,NA,NA,NA
"307","07880",49.53,5,60,100,44.3,60,0.0833333333333333
"308","07882",1651.354,174,5676,89.1,48.8,5676,0.0306553911205074
"309","07885",1140.378,171,3837,76.6,51.4,3837,0.0445660672400313
"310","07901",542.251,61,8376,74.8,47.5,8376,0.00728271251193887
"311","07920",1158.804,113,9802,73.7,48.8,9802,0.0115282595388696
"312","07921",445.122,34,3794,86.8,45.3,3794,0.00896151818661044
"313","07922",483.026,53,4144,81.4,47.6,4144,0.0127895752895753
"314","07924",337.042,32,2581,90,52.2,2581,0.0123982952344053
"315","07926",32.05,4,9,100,0,9,0.444444444444444
"316","07927",199.935,24,1590,72.7,50.4,1590,0.0150943396226415
"317","07928",516.445,55,6482,84.7,48.1,6482,0.00848503548287566
"318","07930",715.476,56,3027,89,51.1,3027,0.0185001651800463
"319","07931",632.899,33,1031,90.3,53.5,1031,0.032007759456838
"320","07932",372.864,40,3992,87.7,49.9,3992,0.0100200400801603
"321","07933",232.35,23,1116,95.6,50.5,1116,0.0206093189964158
"322","07934",210.971,13,516,95.9,44.3,516,0.0251937984496124
"323","07935",25.494,4,141,100,43,141,0.0283687943262411
"324","07936",914.44,98,3771,85.2,44,3771,0.0259878016441262
"325","07938",14.5,2,NA,NA,NA,NA,NA
"326","07940",747.077,81,5589,85.2,48.2,5589,0.0144927536231884
"327","07945",474.047,37,3109,92.9,47.1,3109,0.0119009327758122
